name,geom
c_21,"POLYGON ((47.65577469999999 -122.2833892, 47.65577649999999 -122.2827829999999, 47.65612699999997 -122.2827883999999, 47.65600059999997 -122.2821715, 47.65708289999996 -122.2821549, 47.65708109999998 -122.283372, 47.65577469999999 -122.2833892))"
c_22,"POLYGON ((47.65596529999998 -122.2820961999999, 47.65583879999998 -122.2815597, 47.6583934 -122.2815651, 47.6584006 -122.2820908, 47.65596529999998 -122.2820961999999))"
c_23,"POLYGON ((47.65575569999999 -122.2812647, 47.65565089999995 -122.2807121, 47.65839699999998 -122.2806906999999, 47.6583934 -122.2812754, 47.65575569999999 -122.2812647))"
c_24,"POLYGON ((47.65562919999999 -122.2806638999999, 47.65550279999997 -122.2801649999999, 47.65840429999999 -122.2801596, 47.6583934 -122.2806424, 47.65562919999999 -122.2806638999999))"
c_25,"POLYGON ((47.65548600000001 -122.2801012, 47.6553506 -122.2794360999999, 47.65838209999999 -122.2794253, 47.65838939999999 -122.2800905, 47.65548600000001 -122.2801012))"
c_26,"POLYGON ((47.65533569999997 -122.2793607999999, 47.65563019999999 -122.277958, 47.65540069999999 -122.2776255, 47.65545129999998 -122.2772258, 47.65616859999997 -122.2779634, 47.6565118 -122.2781887, 47.65640339999998 -122.2787573, 47.65661119999999 -122.2788887999999, 47.6566022 -122.2793582, 47.65622639999996 -122.2793582, 47.65533569999997 -122.2793607999999))"
c_27,"POLYGON ((47.65660869999998 -122.2793573, 47.65661680000001 -122.2787806, 47.65641719999996 -122.2787364, 47.65652379999995 -122.2781784999999, 47.65679659999998 -122.2782643, 47.657662 -122.2782858, 47.6576572 -122.2793689, 47.65660869999998 -122.2793573))"
c_28,"POLYGON ((47.65679659999998 -122.2782321, 47.65641899999999 -122.2781033999999, 47.65606679999995 -122.2778204, 47.65622209999997 -122.2774194, 47.65675509999998 -122.2772531, 47.65736209999996 -122.2772558, 47.65764389999998 -122.2772263, 47.65765659999999 -122.2782482, 47.65679659999998 -122.2782321))"
c_29,"POLYGON ((47.65532049999999 -122.277047, 47.65530789999998 -122.2768511999999, 47.65498629999994 -122.2767225, 47.65472249999995 -122.2762583999999, 47.65461769999999 -122.2761350999999, 47.65464300000001 -122.2756737, 47.65516509999996 -122.2757595, 47.65551929999997 -122.2760251, 47.65571440000001 -122.2761671999999, 47.65600339999997 -122.2764434999999, 47.6561931 -122.2766339, 47.65634129999996 -122.2768244, 47.65618769999995 -122.2771999, 47.65625639999997 -122.2772669, 47.65606049999998 -122.2778177, 47.65532049999999 -122.277047))"
c_30,"POLYGON ((47.65735479999996 -122.2772394, 47.65671529999997 -122.2772366999999, 47.65693389999998 -122.2762013999999, 47.65764209999999 -122.2762523, 47.65764389999998 -122.2772072, 47.65735479999996 -122.2772394))"
c_31,"POLYGON ((47.65627109999997 -122.277088, 47.65636140000002 -122.276793, 47.6561916 -122.2766025, 47.65567849999995 -122.2760983, 47.65516359999999 -122.2757415, 47.65466339999998 -122.2756222, 47.65468319999997 -122.2751984, 47.65538649999997 -122.2748578, 47.65538879999996 -122.2751307, 47.655751 -122.2750401999999, 47.65576549999996 -122.2751072, 47.6559226 -122.2751984, 47.6559533 -122.2750938, 47.65637970000002 -122.2754425, 47.65676819999999 -122.2756786, 47.65697049999998 -122.2757134, 47.65664869999997 -122.2771712, 47.65627109999997 -122.277088))"
c_32,"POLYGON ((47.65676229999999 -122.2755879, 47.65597820000001 -122.2750836, 47.6559312 -122.2750461, 47.6558414 -122.2751158, 47.65577369999995 -122.2750957, 47.655752 -122.2749937, 47.65552619999998 -122.2750621, 47.65539429999994 -122.2750996999999, 47.65539429999994 -122.2747295, 47.65510879999998 -122.2743701, 47.65549359999996 -122.273839, 47.65571949999999 -122.2741019, 47.65639879999997 -122.27411, 47.65694439999998 -122.2742119, 47.65707629999998 -122.2742762, 47.65698629999996 -122.2756308, 47.65676229999999 -122.2755879))"
c_33,"POLYGON ((47.65687959999997 -122.2741655, 47.65640259999999 -122.2740768999999, 47.65572329999998 -122.2740689, 47.65542519999997 -122.2737122, 47.65543059999998 -122.2733876, 47.65586239999998 -122.2728995, 47.65630509999995 -122.2730309, 47.65680549999995 -122.2730067, 47.65709459999997 -122.2728887, 47.65707289999997 -122.2742245, 47.65687959999997 -122.2741655))"
c_34,"POLYGON ((47.65706669999999 -122.2748938, 47.65710470000001 -122.2732255, 47.65734589999998 -122.2732764999999, 47.65772619999999 -122.2736049999999, 47.65792399999997 -122.2736721, 47.65798089999996 -122.2736949, 47.65807659999997 -122.2736842, 47.65807850000001 -122.2735876, 47.65821579999998 -122.2735956, 47.65820669999998 -122.2739792, 47.65764309999995 -122.2740033, 47.65764849999996 -122.2751245, 47.65706669999999 -122.2748938))"
c_35,"POLYGON ((47.65791599999999 -122.2736625, 47.65772909999995 -122.2735954999999, 47.65732279999999 -122.2732456, 47.65709429999999 -122.2728687, 47.65681599999997 -122.272968, 47.65631379999996 -122.2730028, 47.6561458 -122.2729519, 47.65657389999998 -122.2718683, 47.65685219999998 -122.2717073, 47.65713219999996 -122.272563, 47.65770859999998 -122.2729196999999, 47.65782409999998 -122.27252, 47.65797949999997 -122.2725307999999, 47.65804869999998 -122.2736716999999, 47.65791599999999 -122.2736625))"
c_36,"POLYGON ((47.65781779999998 -122.2725036, 47.6577094 -122.2728763999999, 47.65713309999996 -122.2725277, 47.65686749999997 -122.2717042999999, 47.65714399999995 -122.2707387, 47.65736799999998 -122.2703202999999, 47.65748720000001 -122.2706287, 47.65763530000002 -122.2706287, 47.65773650000002 -122.2707145999999, 47.65799129999998 -122.2707145999999, 47.65797859999998 -122.2725174, 47.65781779999998 -122.2725036))"
c_37,"POLYGON ((47.65830629999999 -122.2705033, 47.65835509999999 -122.2722144999999, 47.65868499999999 -122.2726271, 47.65872279999996 -122.2726621999999, 47.65860709999998 -122.2728902, 47.65849149999997 -122.2730484, 47.65864019999996 -122.2732801, 47.65883559999998 -122.273566, 47.65918429999998 -122.2735768, 47.65917889999997 -122.2739763999999, 47.65843099999999 -122.2739684, 47.65830269999997 -122.2732280999999, 47.65805339999997 -122.272697, 47.65803710000002 -122.2705113, 47.65830629999999 -122.2705033))"
c_38,"POLYGON ((47.65773179999998 -122.2706907, 47.6576378 -122.2705968, 47.65748609999995 -122.2706076, 47.6573813 -122.2703045, 47.65758179999996 -122.2699745999999, 47.65853209999997 -122.2691055, 47.65876939999998 -122.2689160999999, 47.65869169999998 -122.2686265, 47.65895909999997 -122.2684172999999, 47.65907829999995 -122.2687257, 47.65931139999998 -122.2686211, 47.65948299999999 -122.2696082, 47.65879289999997 -122.2699836999999, 47.65864649999996 -122.2702653, 47.65835569999996 -122.2703028, 47.65831949999996 -122.2704986999999, 47.65799259999997 -122.2705067, 47.65799009999996 -122.2706907, 47.65773179999998 -122.2706907))"
c_39,"POLYGON ((47.66006939999998 -122.2695407, 47.65947859999999 -122.2695246, 47.65933409999998 -122.2686207, 47.66026809999996 -122.2683927, 47.66104389999996 -122.2683136, 47.66108549999997 -122.2688338999999, 47.66123099999997 -122.2688165, 47.66121469999995 -122.2694227, 47.66006939999998 -122.2695407))"
c_40,"POLYGON ((47.66128649999997 -122.2690243, 47.66119799999996 -122.2686354, 47.66107869999999 -122.2679327, 47.6619341 -122.2678831, 47.66257719999997 -122.267419, 47.66311729999996 -122.2675612, 47.66312279999995 -122.2692993, 47.66267119999999 -122.2692911999999, 47.66223039999997 -122.2692536999999, 47.66192149999999 -122.2691115, 47.66175709999998 -122.2691169, 47.661524 -122.2692242, 47.66128649999997 -122.2690243))"
c_41,"POLYGON ((47.66263829999999 -122.2703152, 47.66212519999998 -122.2701327999999, 47.66174669999999 -122.270283, 47.66172239999999 -122.2692222, 47.66175849999998 -122.2691269, 47.66195269999998 -122.2691471, 47.66237449999998 -122.2693462, 47.66283879999999 -122.2694669, 47.66305010000001 -122.2694803, 47.66304649999999 -122.2701247, 47.66263829999999 -122.2703152))"
c_42,"POLYGON ((47.66122669999998 -122.270406, 47.66120680000001 -122.270854, 47.66103749999999 -122.2708325, 47.66103069999999 -122.2704731, 47.66083109999998 -122.2704087, 47.66046249999998 -122.2704972, 47.66036499999998 -122.270001, 47.66010489999996 -122.2699957, 47.66008139999998 -122.2695610999999, 47.6612231 -122.2694646, 47.66157719999996 -122.2692767999999, 47.66172349999999 -122.2695691999999, 47.6617313 -122.2702837, 47.66122669999998 -122.270406))"
c_43,"POLYGON ((47.65971589999999 -122.2705696, 47.65971499999996 -122.270677, 47.65916759999999 -122.2706876, 47.65917759999998 -122.2702237, 47.65906199999997 -122.2700198, 47.6594377 -122.2696765, 47.66004289999999 -122.2695826, 47.66007 -122.2700868, 47.66035729999994 -122.2700386, 47.66039159999999 -122.2704999, 47.65971589999999 -122.2705696))"
c_44,"POLYGON ((47.65915499999999 -122.2714706, 47.65903939999998 -122.2715724999999, 47.65903219999994 -122.2723624, 47.6587642 -122.2725459, 47.65836409999998 -122.2721382, 47.65836589999996 -122.2703197, 47.65872179999996 -122.2702713999999, 47.65881029999996 -122.2700005, 47.65899999999999 -122.2699227, 47.6591517 -122.2702767999999, 47.65917309999997 -122.270918, 47.65915499999999 -122.2714706))"
c_45,"POLYGON ((47.65972619999998 -122.2706893999999, 47.65981289999995 -122.2714109, 47.66012719999998 -122.2715638, 47.66006399999998 -122.2724302, 47.65962319999996 -122.2724141, 47.65917149999999 -122.2722424, 47.65906129999999 -122.2716282, 47.65916969999996 -122.2715451, 47.65917519999998 -122.2707082, 47.65972619999998 -122.2706893999999))"
c_46,"POLYGON ((47.6611569 -122.2715021, 47.66003329999999 -122.2714512, 47.6598183 -122.2713760999999, 47.65973519999999 -122.2705875, 47.6604145 -122.2705124, 47.66101419999998 -122.2704856, 47.66102869999998 -122.2708584, 47.66140509999999 -122.2709276, 47.66152179999997 -122.2712366, 47.6611569 -122.2715021))"
c_47,"POLYGON ((47.66154669999996 -122.2711993, 47.66140219999999 -122.2707486999999, 47.66168039999999 -122.2703383, 47.66214459999999 -122.2701881, 47.66269559999997 -122.2703732, 47.66306409999997 -122.2702793, 47.66305509999998 -122.2706683, 47.66272449999997 -122.2707486999999, 47.66269209999997 -122.2709096999999, 47.66216989999996 -122.2711162, 47.66206159999999 -122.2708372, 47.66154669999996 -122.2711993))"
