Category,Item,Description
Consumable,Water,One gallon per person per day for at least three days for drinking and sanitation
Consumable,Non-perishable food,Three-day supply of ready-to-eat canned goods protein bars cereals nuts
Durable,Manual can opener,To open canned food if necessary
Consumable,First-aid kit,Includes bandages antiseptics painkillers tweezers and burn ointments
Consumable,Personal hygiene products,Soap hand sanitizer wet wipes feminine hygiene products and diapers if needed
Consumable,Flashlights,LED flashlights with extra batteries for emergency lighting
Consumable,Emergency blankets,To keep warm in cold weather
Consumable,Water purification tablets,To treat water if supplies run out or are contaminated
Durable,Fire extinguisher,Class ABC fire extinguisher for general fire safety
Durable,Hammer,For basic repairs and shelter construction
Durable,Screwdriver,For minor fixes and adjustments
Durable,Chain saw,For cutting down large trees or clearing debris if trained
Durable,Tent,For shelter in case of evacuation
Skill,First-aid knowledge,Ability to administer basic medical care and CPR
Skill,Fire safety and evacuation,Knowledge of how to extinguish small fires and follow evacuation routes
Skill,Search and rescue basics,Ability to assist in locating missing persons or help in local emergency operations
Skill,Ham radio operation,Ability to use amateur radios for communication if cellular networks fail
Skill,Vehicle maintenance,Basic ability to troubleshoot or repair vehicle issues such as changing tires or jump-starting
